id,word,category,part_of_speech,definition_zh_tw,example_en,example_zh_tw,collection_note
1,ability,core_3000,,,,,Core high-frequency vocabulary
2,able,core_3000,,,,,Core high-frequency vocabulary
3,about,core_3000,,,,,Core high-frequency vocabulary
4,above,core_3000,,,,,Core high-frequency vocabulary
5,accept,core_3000,,,,,Core high-frequency vocabulary
6,according,core_3000,,,,,Core high-frequency vocabulary
7,account,core_3000,,,,,Core high-frequency vocabulary
8,across,core_3000,,,,,Core high-frequency vocabulary
9,act,core_3000,,,,,Core high-frequency vocabulary
10,action,core_3000,,,,,Core high-frequency vocabulary
11,activity,core_3000,,,,,Core high-frequency vocabulary
12,actually,core_3000,,,,,Core high-frequency vocabulary
13,add,core_3000,,,,,Core high-frequency vocabulary
14,address,core_3000,,,,,Core high-frequency vocabulary
15,administration,core_3000,,,,,Core high-frequency vocabulary
16,admit,core_3000,,,,,Core high-frequency vocabulary
17,adult,core_3000,,,,,Core high-frequency vocabulary
18,affect,core_3000,,,,,Core high-frequency vocabulary
19,after,core_3000,,,,,Core high-frequency vocabulary
20,again,core_3000,,,,,Core high-frequency vocabulary
21,against,core_3000,,,,,Core high-frequency vocabulary
22,age,core_3000,,,,,Core high-frequency vocabulary
23,agency,core_3000,,,,,Core high-frequency vocabulary
24,agent,core_3000,,,,,Core high-frequency vocabulary
25,ago,core_3000,,,,,Core high-frequency vocabulary
26,agree,core_3000,,,,,Core high-frequency vocabulary
27,agreement,core_3000,,,,,Core high-frequency vocabulary
28,ahead,core_3000,,,,,Core high-frequency vocabulary
29,air,core_3000,,,,,Core high-frequency vocabulary
30,all,core_3000,,,,,Core high-frequency vocabulary
31,allow,core_3000,,,,,Core high-frequency vocabulary
32,almost,core_3000,,,,,Core high-frequency vocabulary
33,alone,core_3000,,,,,Core high-frequency vocabulary
34,along,core_3000,,,,,Core high-frequency vocabulary
35,already,core_3000,,,,,Core high-frequency vocabulary
36,also,core_3000,,,,,Core high-frequency vocabulary
37,although,core_3000,,,,,Core high-frequency vocabulary
38,always,core_3000,,,,,Core high-frequency vocabulary
39,American,core_3000,,,,,Core high-frequency vocabulary
40,among,core_3000,,,,,Core high-frequency vocabulary
41,amount,core_3000,,,,,Core high-frequency vocabulary
42,analysis,core_3000,,,,,Core high-frequency vocabulary
43,animal,core_3000,,,,,Core high-frequency vocabulary
44,another,core_3000,,,,,Core high-frequency vocabulary
45,answer,core_3000,,,,,Core high-frequency vocabulary
46,any,core_3000,,,,,Core high-frequency vocabulary
47,anyone,core_3000,,,,,Core high-frequency vocabulary
48,anything,core_3000,,,,,Core high-frequency vocabulary
49,appear,core_3000,,,,,Core high-frequency vocabulary
50,apply,core_3000,,,,,Core high-frequency vocabulary
51,approach,core_3000,,,,,Core high-frequency vocabulary
52,area,core_3000,,,,,Core high-frequency vocabulary
53,argue,core_3000,,,,,Core high-frequency vocabulary
54,arm,core_3000,,,,,Core high-frequency vocabulary
55,around,core_3000,,,,,Core high-frequency vocabulary
56,arrive,core_3000,,,,,Core high-frequency vocabulary
57,art,core_3000,,,,,Core high-frequency vocabulary
58,article,core_3000,,,,,Core high-frequency vocabulary
59,artist,core_3000,,,,,Core high-frequency vocabulary
60,as,core_3000,,,,,Core high-frequency vocabulary
61,ask,core_3000,,,,,Core high-frequency vocabulary
62,assume,core_3000,,,,,Core high-frequency vocabulary
63,at,core_3000,,,,,Core high-frequency vocabulary
64,attack,core_3000,,,,,Core high-frequency vocabulary
65,attention,core_3000,,,,,Core high-frequency vocabulary
66,attorney,core_3000,,,,,Core high-frequency vocabulary
67,audience,core_3000,,,,,Core high-frequency vocabulary
68,author,core_3000,,,,,Core high-frequency vocabulary
69,authority,core_3000,,,,,Core high-frequency vocabulary
70,available,core_3000,,,,,Core high-frequency vocabulary
71,avoid,core_3000,,,,,Core high-frequency vocabulary
72,away,core_3000,,,,,Core high-frequency vocabulary
73,baby,core_3000,,,,,Core high-frequency vocabulary
74,back,core_3000,,,,,Core high-frequency vocabulary
75,bad,core_3000,,,,,Core high-frequency vocabulary
76,bag,core_3000,,,,,Core high-frequency vocabulary
77,ball,core_3000,,,,,Core high-frequency vocabulary
78,bank,core_3000,,,,,Core high-frequency vocabulary
79,bar,core_3000,,,,,Core high-frequency vocabulary
80,base,core_3000,,,,,Core high-frequency vocabulary
81,be,core_3000,,,,,Core high-frequency vocabulary
82,beat,core_3000,,,,,Core high-frequency vocabulary
83,beautiful,core_3000,,,,,Core high-frequency vocabulary
84,because,core_3000,,,,,Core high-frequency vocabulary
85,become,core_3000,,,,,Core high-frequency vocabulary
86,bed,core_3000,,,,,Core high-frequency vocabulary
87,before,core_3000,,,,,Core high-frequency vocabulary
88,begin,core_3000,,,,,Core high-frequency vocabulary
89,behavior,core_3000,,,,,Core high-frequency vocabulary
90,behind,core_3000,,,,,Core high-frequency vocabulary
